Lat,Long,City,Humidity,Temperature,Cloudiness,Wind Speed,Max Temperature,Country,Date
-33.9258,18.4232,cape town,50,75.38,0,8.05,75.99,ZA,1615972902
-29.9533,-71.3436,coquimbo,72,57.2,0,2.3,57.2,CL,1615973177
62.456,-114.3525,yellowknife,85,5,90,8.05,5,CA,1615973041
38.2061,67.1986,boysun,40,54.23,11,5.26,54.23,UZ,1615973177
20.1444,-75.2092,guantanamo,78,69.4,75,6.91,69.8,CU,1615973177
-32.7167,152.15,nelson bay,78,69.35,75,12.66,69.8,AU,1615973178
-23.1203,-134.9692,rikitea,81,75.7,100,13.82,75.7,PF,1615973178
69.2167,-51.1,ilulissat,79,10.4,75,10.36,10.4,GL,1615973178
-24.8667,113.6333,carnarvon,66,86,0,12.66,86,AU,1615973178
-30.4,27.7003,quthing,52,71.76,45,7.18,71.76,LS,1615973178
-6.2167,155.6333,kieta,79,80.26,77,1.74,80.26,PG,1615973179
-7.411824293357583,176.32096728697337,lolua,,,,,,,
-34.4187,19.2345,hermanus,68,73,24,5.99,73,ZA,1615973179
28.705828823538226,75.47223179155833,siwani,,,,,,,
-26.5333,153.1,coolum beach,97,67.35,100,8.63,70,AU,1615973179
-0.9492,100.3543,padang,76,83.23,100,3.49,83.23,ID,1615972987
41.3712,-73.414,bethel,85,30.04,80,1.21,30.99,US,1615973180
42.097,-79.2353,jamestown,93,29.53,75,3.29,30.99,US,1615973180
57.79,-152.4072,kodiak,50,26.6,1,6.91,26.6,US,1615973180
66.0449,-17.3389,husavik,70,44.6,75,12.66,44.6,IS,1615973180
37.7167,-25.4333,vila franca do campo,67,57.2,75,6.91,57.2,PT,1615973181
26.0023,63.044,turbat,12,94.98,0,5.82,94.98,PK,1615973181
55.7435,-97.8558,thompson,54,23,90,6.91,23,CA,1615973181
34.2333,135.85,kawai,47,52.57,0,11.5,53.6,JP,1615973181
-54.8,-68.3,ushuaia,81,42.8,40,12.66,42.8,AR,1615973182
-19.8,-174.35,pangai,68,81.23,0,3.69,81.23,TO,1615972896
42.6001,-73.9662,albany,53,29.68,45,0.87,30.99,US,1615973182
76.33261457743998,59.342253682955146,amderma,,,,,,,
66.9395,-53.6735,sisimiut,86,6.1,100,6.96,6.1,GL,1615973182
70.6333,147.9167,chokurdakh,83,-14.31,2,8.81,-14.31,RU,1615973183
20.8947,-156.47,kahului,94,66.38,40,9.22,68,US,1615973183
-10.6167,150.6667,samarai,78,83.32,23,9.01,83.32,PG,1615973183
50.147,48.5704,aleksandrov gay,85,31.87,100,20.96,31.87,RU,1615973183
-25.2986,152.8535,hervey bay,92,70,99,1.01,70,AU,1615973183
71.65434095256629,134.09134188109493,nizhneyansk,,,,,,,
-69.9558171790954,68.71213398293978,taolanaro,,,,,,,
-53.15,-70.9167,punta arenas,76,48.09,90,18.41,48.2,CL,1615973184
-41.8697,-73.8203,ancud,87,43.95,0,8.05,46,CL,1615973184
77.484,-69.3632,qaanaaq,96,-6.93,88,5.59,-6.93,GL,1615973184
25.5833,85.05,khagaul,20,87.8,0,6.91,87.8,IN,1615973185
73.5069,80.5464,dikson,96,-23.01,0,7.65,-23.01,RU,1615973185
84.35042978546502,-5.809961044856692,barentsburg,,,,,,,
63.8424,-22.4338,grindavik,100,44.6,90,19.57,44.6,IS,1615973185
-46.6,168.3333,bluff,78,50,33,7.14,50,NZ,1615973186
51.0802,-4.0581,barnstaple,94,46.87,36,5.99,50,GB,1615973186
-46.1927,168.8643,mataura,78,50,26,1.14,50,NZ,1615973186
44.0625,-103.1463,rapid valley,86,30.92,90,11.5,32,US,1615973186
-21.2078,-159.775,avarua,83,80.6,90,14.97,80.6,CK,1615973186
38.5167,-28.7,ribeira grande,88,60.8,40,16.11,60.8,PT,1615973187
33.0833,-16.3333,camacha,82,62.6,40,18.41,62.6,PT,1615973187
-20.3428,57.7575,bambous virieux,66,85.06,40,13.8,86,MU,1615973187
63.2909,18.7153,ornskoldsvik,59,32,0,5.75,32,SE,1615973187
-34.5322,20.0403,bredasdorp,57,75.2,49,11.5,75.2,ZA,1615973187
1.4451,125.1824,bitung,74,84.2,40,5.75,84.2,ID,1615973188
8.4054,48.4845,garowe,28,90.68,67,13.35,90.68,SO,1615973188
42.8,93.45,hami,24,54.05,80,6.44,54.05,CN,1615973188
-31.6333,-60.7,santa fe,88,64.99,76,4,64.99,AR,1615973030
-2.5744,150.7967,kavieng,70,83.62,99,6.06,83.62,PG,1615973189
-3.6954,128.1814,ambon,70,86,40,4.61,86,ID,1615973189
72.59456286301437,-15.911007600689004,illoqqortoormiut,,,,,,,
50.6789,156.125,severo-kurilsk,97,35.13,100,22.79,35.13,RU,1615973189
66.8014,65.8081,kharp,94,10.47,99,4.05,10.47,RU,1615973189
68.75,161.3,cherskiy,98,-21.3,37,4.79,-21.3,RU,1615973190
-14.2667,50.1667,sambava,65,85.08,64,9.01,85.08,MG,1615973190
-23.865,35.3833,inhambane,62,87.39,20,6.91,87.8,MZ,1615973190
38.421,-121.4238,laguna,81,40.95,1,1.43,44.01,US,1615973190
41.6167,0.6167,lleida,81,49.5,0,8.05,51.01,ES,1615973190
-33.0153,27.9116,east london,83,71.6,20,4.61,71.6,ZA,1615973118
-18.9,-66.7667,challapata,55,45.66,82,1.3,45.66,BO,1615973191
-33.8667,121.9,esperance,24,84.2,8,17.27,84.2,AU,1615973191
